! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character.
!
! The code of the species is "free". 
! ======================================================================
XC       #lostcarbon                                                  
C2H2     #ethyne                                                                                                                                                               
C3H4     #propyne                                                                                                                                      
C4H601   #1-butyne                                                                                                                                                               
C4H602   #2-butyne                                                                                                                                                        
AR0176   #mmCH3C1(CHO)-O-C1(CH3)CH(OH)CH(OO.)CHO                                                                                   2.DDOE                    
AR0177   #mmCHOCdH=CdHC1(CH3)-O-C1(CH3)CO(OO.)                                                                                     3.UDKE                    
AR0178   #mmCH3c1cHcHcHc(O.)c1CH3                                                                                                  1.R                      
AR0179   #mmCH3C12-O--O-CH(C2H(OH))C(OH)(OO.)CdH=Cd1CH3                                                                            2.UOOEE                    
AR0180   #mmCH3c1cHcHc(OH)c(OH)c1CH3                                                                                               ROO                      
AR0181   #mmCH3C12-O--O-CH(C2H(ONO2))C(OH)(OO.)CdH=Cd1CH3                                                                          2.NUOEE                    
AR0182   #mmCH3c1cHcHcHcHc1CH2(O.)                                                                                                 1.R                      
AR0183   #mmCH3c1cHcHcHcHc1CH2(ONO2)                                                                                               RN                            
AR0184   #mmCH3c1cHcHcHcHc1CH2(OOH)                                                                                                RH                            
AR0185   #mmC1H2-O-COCd(CH3)=Cd1CH3                                                                                                UKE                      
AR0186   #mmC2OCdH=CdHCH(C1H(OH))-O--O-C12CH3                                                                                      UKOEE                    
AR0187   #mmCH3C1(CHO)-O-C1(CH3)CO(OO.)                                                                                            3.DKE                    
AR0188   #mmCH3C1(CHO)-O-C1(CH3)CH(OH)CH(O.)CHO                                                                                    1.DDOE                    
AR0189   #mmCH3C1(CHO)-O-C1(CH3)CH(OH)CH(ONO2)CHO                                                                                  NDDOE                    
AR0190   #mmCH3C1(CHO)-O-C1(CH3)CH(OH)CH(OOH)CHO                                                                                   HDDOE                    
AR0191   #mmCH3C1(CO(OONO2))-O-C1(CH3)CdH=CdHCHO                                                                                   PUDE                     
AR0192   #mmCH3C1(CO(OOH))-O-C1(CH3)CdH=CdHCHO                                                                                     GUDE                     
AR0193   #mmCH3C1(CO(OH))-O-C1(CH3)CdH=CdHCHO                                                                                      AUDE                     
AR0194   #mmCH3c1cHcHcHc(OO.)c1CH3                                                                                                 2.R                      
AR0195   #mmCH3c1c(OH)c(NO2)cHcHc1CH3                                                                                              RVO                      
AR0196   #mmCH3C12-O--O-CH(C2H(OH))C(OH)(O.)CdH=Cd1CH3                                                                             1.UOOEE                    
AR0197   #mmCH3C12-O--O-CH(C2H(OH))C(OH)(OOH)CdH=Cd1CH3                                                                            HUOOEE                    
AR0198   #mmCH3c1cHcHc(OH)c(O.)c1CH3                                                                                               1.RO                     
AR0199   #OXCATECOOA                                                                                                               K                            
AR0200   #mmCH3C12-O--O-CH(C2H(ONO2))C(OH)(O.)CdH=Cd1CH3                                                                           1.NUOEE                    
AR0201   #mmCH3C12-O--O-CH(C2H(ONO2))C(OH)(OOH)CdH=Cd1CH3                                                                          HNUOEE                    
AR0202   #mmCH3c1cHcHcHcHc1CHO                                                                                                     RD                            
AR0203   #mmCH3C1(OH)CH2-O-COC1(OO.)CH3                                                                                            2.KOE                    
AR0204   #mmCH3C1(ONO2)CH2-O-COC1(OO.)CH3                                                                                          2.NKE                    
AR0205   #mmCH3C1(CO(OONO2))-O-C1(CH3)CHO                                                                                          PDE                      
AR0206   #mmCH3C1(CO(OOH))-O-C1(CH3)CHO                                                                                            GDE                      
AR0207   #mmCH3C1(CO(OH))-O-C1(CH3)CHO                                                                                             ADE                      
AR0208   #mmCH3C1(CHO)-O-C1(CH3)CH(OH)COCHO                                                                                        DDKOE                    
AR0209   #mmCH3c1cHcHcHc(OOH)c1CH3                                                                                                 RH                            
AR0210   #mmCH3c1cHcHc(NO2)c(O.)c1CH3                                                                                              1.RV                     
AR0211   #mmC1OCdH=CdHCOCd(CH3)=Cd1CH3                                                                                             UUKK                     
AR0212   #mmCH3c1c(OH)c(OH)c(NO2)cHc1CH3                                                                                           RVOO                     
AR0213   #mmCH3c1cHcHc(OH)c(OO.)c1CH3                                                                                              2.RO                     
AR0214   #mmCH3c1cHcHcHcHc1CO(OO.)                                                                                                 3.RK                     
AR0215   #mmCH3C1(OH)CH2-O-COC1(O.)CH3                                                                                             1.KOE                    
AR0216   #mmCH3C1(OH)CH2-O-COC1(OOH)CH3                                                                                            HKOE                     
AR0217   #mmCH3C1(ONO2)CH2-O-COC1(O.)CH3                                                                                           1.NKE                    
AR0218   #mmCH3C1(ONO2)CH2-O-COC1(OOH)CH3                                                                                          HNKE                     
AR0219   #mmCH3c1c(OH)c(NO2)cHc(NO2)c1CH3                                                                                          RVVO                     
AR0220   #mmCH3c1cHcHc(NO2)c(OO.)c1CH3                                                                                             2.RV                     
AR0221   #mmC1OCH(OH)CH(OO.)COCd(CH3)=Cd1CH3                                                                                       2.UKKO                    
AR0222   #mmC1OCH(ONO2)CH(OO.)COCd(CH3)=Cd1CH3                                                                                     2.NUKK                    
AR0223   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(OO.)Cd(OH)=Cd1CH3                                                                     2.UVOOOEE                    
AR0224   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OO.)Cd(OH)=Cd1CH3                                                                   2.NUVOOEE                    
AR0225   #mmCH3c1cHcHc(OH)c(OOH)c1CH3                                                                                              RHO                      
AR0226   #mmCH3c1cHcHcHcHc1CO(OONO2)                                                                                               RP                            
AR0227   #mmCH3c1cHcHcHcHc1CO(OOH)                                                                                                 RG                            
AR0228   #mmCH3c1cHcHcHcHc1CO(OH)                                                                                                  RA                            
AR0229   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(OO.)Cd(NO2)=Cd1CH3                                                                    2.UVVOOEE                    
AR0230   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OO.)Cd(NO2)=Cd1CH3                                                                  2.NUVVOEE                    
AR0231   #mmCH3c1cHcHc(NO2)c(OOH)c1CH3                                                                                             RHV                      
AR0232   #mmC1OCH(OH)CH(O.)COCd(CH3)=Cd1CH3                                                                                        1.UKKO                    
AR0233   #mmC1OCH(OH)CH(OOH)COCd(CH3)=Cd1CH3                                                                                       HUKKO                    
AR0234   #mmC1OCH(ONO2)CH(O.)COCd(CH3)=Cd1CH3                                                                                      1.NUKK                    
AR0235   #mmC1OCH(ONO2)CH(OOH)COCd(CH3)=Cd1CH3                                                                                     HNUKK                    
AR0236   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(O.)Cd(OH)=Cd1CH3                                                                      1.UVOOOEE                    
AR0237   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(OOH)Cd(OH)=Cd1CH3                                                                     HUVOOOEE                    
AR0238   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(O.)Cd(OH)=Cd1CH3                                                                    1.NUVOOEE                    
AR0239   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OOH)Cd(OH)=Cd1CH3                                                                   HNUVOOEE                    
AR0240   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(O.)Cd(NO2)=Cd1CH3                                                                     1.UVVOOEE                    
AR0241   #mmCH3C12-O--O-C(NO2)(C2H(OH))C(OH)(OOH)Cd(NO2)=Cd1CH3                                                                    HUVVOOEE                    
AR0242   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(O.)Cd(NO2)=Cd1CH3                                                                   1.NUVVOEE                    
AR0243   #mmCH3C12-O--O-C(NO2)(C2H(ONO2))C(OH)(OOH)Cd(NO2)=Cd1CH3                                                                  HNUVVOEE                    
AR0244   #mmC1OCH(OH)COCOCd(CH3)=Cd1CH3                                                                                            UKKKO                    
AR0245   #mmc1Hc(CH3)cHcHcHc1CH3                                                                                                   R                            
AR0246   #mm-O2--O-C(CH3)(C1H(OH))CH(OO.)CdH=CdHC12CH3                                                                             2.UOEE                    
AR0247   #mmCH3COCdH=CdHC1H-O-C1(CH3)CHO                                                                                           UDKE                     
AR0248   #mmc1Hc(CH3)c(OH)cHcHc1CH3                                                                                                RO                            
AR0249   #mmCH3c1cHcHcHc(c1H)CH2(OO.)                                                                                              2.R                      
AR0250   #mm-O2--O-C(CH3)(C1H(OH))CH(O.)CdH=CdHC12CH3                                                                              1.UOEE                    
AR0251   #mmC2H(ONO2)CdH=CdHC(CH3)(C1H(OH))-O--O-C12CH3                                                                            NUOEE                    
AR0252   #mmC2H(OOH)CdH=CdHC(CH3)(C1H(OH))-O--O-C12CH3                                                                             HUOEE                    
AR0253   #mmCH3C1(CHO)-O-C1HCHO                                                                                                    DDE                      
AR0254   #mmCH3COCH(OO.)CH(OH)C1H-O-C1(CH3)CHO                                                                                     2.DKOE                    
AR0255   #mmCH3COCdH=CdHC1H-O-C1(CH3)CO(OO.)                                                                                       3.UKKE                    
AR0256   #mmc1Hc(CH3)c(O.)cHcHc1CH3                                                                                                1.R                      
AR0257   #mm-O2--O-C(CH3)(C1H(OH))C(OH)(OO.)CdH=CdHC12CH3                                                                          2.UOOEE                    
AR0258   #mmc1Hc(CH3)c(OH)c(OH)cHc1CH3                                                                                             ROO                      
AR0259   #mm-O2--O-C(CH3)(C1H(ONO2))C(OH)(OO.)CdH=CdHC12CH3                                                                        2.NUOEE                    
AR0260   #mmCH3c1cHcHcHc(c1H)CH2(O.)                                                                                               1.R                      
AR0261   #mmCH3c1cHcHcHc(c1H)CH2(ONO2)                                                                                             RN                            
AR0262   #mmCH3c1cHcHcHc(c1H)CH2(OOH)                                                                                              RH                            
AR0263   #mmC1O-O-CH2CdH=Cd1CH3                                                                                                    UKE                      
AR0264   #mmC1O-O-CH(CH3)CdH=Cd1CH3                                                                                                UKE                      
AR0265   #mmC2OCdH=CdHC(CH3)(C1H(OH))-O--O-C12CH3                                                                                  UKOEE                    
AR0266   #mmCH3C1(CHO)-O-C1HCO(OO.)                                                                                                3.DKE                    
